nuclide,event_id,interaction_id,parent_track_id,interaction_type,time_s,x_cm,y_cm,z_cm,particle_in_code,particle_out_code,dir_x,dir_y,dir_z,kinetic_energy_keV
Cu-64,54,3,1,4,0.0,0.0,0.0,0.0,29064,13,-0.65021,-0.12682,0.74909,160.374
Cu-64,54,4,1,4,0.0,0.0,0.0,0.0,29064,30064,0.98738,0.14594,-0.06151,0.007
Cu-64,55,2,1,4,0.0,0.0,0.0,0.0,29064,3,-0.31844,0.12193,0.94007,150.776
Cu-64,55,3,1,4,0.0,0.0,0.0,0.0,29064,13,-0.67988,0.4334,0.59155,428.915
Cu-64,55,4,1,4,0.0,0.0,0.0,0.0,29064,30064,0.52435,-0.29225,-0.79978,0.006
Cu-64,56,2,1,4,0.0,0.0,0.0,0.0,29064,3,0.67973,0.73291,0.02839,14.34
Cu-64,56,3,1,4,0.0,0.0,0.0,0.0,29064,13,-0.87468,0.1636,0.45626,565.353
Cu-64,56,4,1,4,0.0,0.0,0.0,0.0,29064,30064,0.79096,-0.3494,-0.50229,0.002
Cu-64,57,2,1,4,0.0,0.0,0.0,0.0,29064,12,0.53822,-0.44657,-0.71477,1666.059
Cu-64,57,3,1,4,0.0,0.0,0.0,0.0,29064,28064,-0.53822,0.44657,0.71477,0.023
Cu-64,57,4,1,4,0.0,0.0,0.0,0.0,29064,3,-0.3391,0.17267,-0.92477,6.568
Cu-64,57,5,1,4,0.0,0.0,0.0,0.0,29064,3,0.80076,-0.21666,-0.55842,0.669
Cu-64,57,6,1,4,0.0,0.0,0.0,0.0,29064,3,-0.81814,0.53065,-0.22151,1.064
Cu-64,58,2,1,4,0.0,0.0,0.0,0.0,29064,12,0.3019,0.26391,-0.91608,1666.059
Cu-64,58,3,1,4,0.0,0.0,0.0,0.0,29064,28064,-0.3019,-0.26391,0.91608,0.023
Cu-64,58,4,1,4,0.0,0.0,0.0,0.0,29064,3,0.11223,-0.96754,0.22643,7.3
Cu-64,58,5,1,4,0.0,0.0,0.0,0.0,29064,3,0.34697,-0.72647,0.59317,0.856
Cu-64,58,6,1,4,0.0,0.0,0.0,0.0,29064,3,0.92307,-0.36231,0.1291,0.148
Cu-64,59,2,1,4,0.0,0.0,0.0,0.0,29064,2,0.15982,0.68353,-0.71221,227.655
Cu-64,59,3,1,4,0.0,0.0,0.0,0.0,29064,12,0.40305,-0.80757,0.43056,424.732
Cu-64,59,4,1,4,0.0,0.0,0.0,0.0,29064,28064,-0.79124,-0.06659,0.60786,0.001
Cu-64,60,2,1,4,0.0,0.0,0.0,0.0,29064,3,-0.95442,-0.03523,0.29639,265.368
Cu-64,60,3,1,4,0.0,0.0,0.0,0.0,29064,13,-0.4904,-0.49033,0.72048,314.322
Cu-64,60,4,1,4,0.0,0.0,0.0,0.0,29064,30064,0.85269,0.20924,-0.47868,0.006
Cu-64,61,2,1,4,0.0,0.0,0.0,0.0,29064,12,-0.26996,-0.96257,0.02404,1666.059
Cu-64,61,3,1,4,0.0,0.0,0.0,0.0,29064,28064,0.26996,0.96257,-0.02404,0.023
Cu-64,61,4,1,4,0.0,0.0,0.0,0.0,29064,3,0.43577,0.32909,-0.83774,6.57
Cu-64,61,5,1,4,0.0,0.0,0.0,0.0,29064,3,-0.56488,-0.80771,-0.16888,0.773
Cu-64,61,6,1,4,0.0,0.0,0.0,0.0,29064,3,0.49859,-0.66856,0.55175,0.96
Cu-64,62,2,1,4,0.0,0.0,0.0,0.0,29064,12,0.28765,0.49278,-0.82123,1666.059
Cu-64,62,3,1,4,0.0,0.0,0.0,0.0,29064,28064,-0.28765,-0.49278,0.82123,0.023
Cu-64,62,4,1,4,0.0,0.0,0.0,0.0,29064,3,-0.82074,0.07151,-0.56681,6.55
Cu-64,62,5,1,4,0.0,0.0,0.0,0.0,29064,3,-0.1727,-0.87897,0.4445,0.727
Cu-64,62,6,1,4,0.0,0.0,0.0,0.0,29064,3,0.76731,0.61701,-0.17477,1.025
Cu-64,63,2,1,4,0.0,0.0,0.0,0.0,29064,2,0.33083,0.43996,0.83486,56.12
Cu-64,63,3,1,4,0.0,0.0,0.0,0.0,29064,12,0.23144,0.96298,0.1382,596.262
Cu-64,63,4,1,4,0.0,0.0,0.0,0.0,29064,28064,-0.28401,-0.88348,-0.37255,0.005
Cu-64,64,2,1,4,0.0,0.0,0.0,0.0,29064,12,0.22935,-0.03064,-0.97286,1666.059
Cu-64,64,3,1,4,0.0,0.0,0.0,0.0,29064,28064,-0.22935,0.03064,0.97286,0.023
Cu-64,64,4,1,4,0.0,0.0,0.0,0.0,29064,3,0.79986,0.54739,0.24616,6.429
Cu-64,64,5,1,4,0.0,0.0,0.0,0.0,29064,3,0.51282,0.09845,0.85283,0.107
Cu-64,64,6,1,4,0.0,0.0,0.0,0.0,29064,3,-0.10384,0.93308,-0.34434,0.855
Cu-64,64,7,1,4,0.0,0.0,0.0,0.0,29064,3,0.87508,-0.09239,-0.47509,0.911
Cu-64,65,2,1,4,0.0,0.0,0.0,0.0,29064,3,0.3241,0.23538,0.91627,168.721
