primary_id,source_event_id,pair_id,pair_member,family,particle,fluka_particle_code,megalib_particle_code,kinetic_energy_keV,x_cm,y_cm,z_cm,dir_x,dir_y,dir_z,pol_x,pol_y,pol_z,weight,concurrent_with_previous,seed,source_note
1360,1360,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,-0.9700029768121435,0.1815836278996279,0.1616218149087234,-0.1840027544999627,-0.9829257277823317,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1361,1361,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,-0.7813195295115999,-0.6240222104422606,0.01166506230275477,0.6240646712744897,-0.7813726934485636,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1362,1362,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,-0.7460785481759551,-0.5105295985889008,0.42746500314799474,0.5647252051530653,-0.8252790089811011,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1363,1363,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,0.7291554487215204,0.007232225049420786,-0.6843098907078231,-0.009918144804133564,0.9999508139921904,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1364,1364,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,-0.8392949775944153,-0.534900761231345,-0.09728882884955371,0.5374503234372727,-0.8432954107767757,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1365,1365,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,-0.1335833009646168,-0.47787333626909456,0.8682122875117821,0.9630796961142782,-0.2692164536807315,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1366,1366,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,0.9465508920977873,-0.3008609371465889,0.11629318624992392,0.3029162454332914,0.9530171815096504,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1367,1367,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,-0.1463290500811745,0.6629754550847571,0.7342011679761211,-0.9764975967578332,-0.2155282893872081,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1368,1368,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,0.600137679142739,-0.3221525643853616,-0.7321560566799283,0.4729630023448991,0.881082288105316,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1369,1369,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,-0.5923024016432763,-0.6163250280061708,-0.518961775914951,0.7210187984045303,-0.6929155015925732,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1370,1370,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,0.9409553802544612,-0.0648882964781737,-0.3322536400859182,0.0687966276989382,0.9976307052297727,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1371,1371,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,-0.144026245771778,0.6651622790896945,0.7326769977316681,-0.9773511824678708,-0.21162387891883735,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1372,1372,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,0.7600158619668056,-0.6496923087077653,0.01660703359505922,0.6497819177223132,0.7601206873918858,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1373,1373,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,0.7198051134867113,0.12929200865333354,0.6820294532472693,-0.17679152321469105,0.9842483209634799,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1374,1374,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,-0.4388016376682817,-0.690228576572498,-0.5753587010399142,0.8439021493167451,-0.5364971224327099,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1375,1375,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,-0.7066303246651011,0.6799118205391679,-0.19594259504969358,-0.6933521979235197,-0.7205988687436474,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1376,1376,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,-0.08931706219208634,-0.08262806599993491,-0.9925699295820347,0.0,0.9965529082257832,-0.08295963540622407,1.0,0,24066501,High-energy mono-gamma transport sentinel
1377,1377,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,0.32961016986643904,0.42563459767036527,-0.8427290935921243,-0.7906458233446533,0.6122737802875894,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1378,1378,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,0.779013172536419,0.25106152649576247,0.5745490291771114,-0.30674487213183477,0.9517917752433167,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1379,1379,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,-0.2968993433347095,0.9449663351148142,-0.13743873335815837,-0.9540197249127793,-0.29974383142501004,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1380,1380,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,-0.1665327400492473,-0.08676204641653876,0.9822113793849592,0.0,-0.9961212912488823,-0.08799075588185097,1.0,0,24066501,High-energy mono-gamma transport sentinel
1381,1381,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,0.5805118073578845,-0.3273651925123519,0.7455454863718465,0.49120393356156783,0.871044600266624,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1382,1382,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,-0.044677330576964595,-0.931588990204491,-0.36075738310157046,0.9988519854901649,-0.047903142718985735,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1383,1383,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,-0.7333712835273983,0.5203740736767987,0.4374670089759798,-0.5786856444884224,-0.8155506881016159,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1384,1384,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,0.5792008743045213,-0.5607541119473541,-0.5916765781565232,0.695573308014819,0.7184551295504276,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1385,1385,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,-0.004671638945492728,0.047319337628355204,-0.9988688883311847,0.0,0.998879788272006,0.04731985399039819,1.0,0,24066501,High-energy mono-gamma transport sentinel
1386,1386,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,-0.5153917302414769,-0.7497958828371641,-0.4149427653052098,0.8240896084639464,-0.5664594577034967,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
1387,1387,,0,mono2754_gamma,gamma,7,1,2754.0,0.0,0.0,0.0,-0.9556726147947762,0.29337934380951863,0.024867930296103683,-0.293470100846237,-0.9559682525634936,0.0,1.0,0,24066501,High-energy mono-gamma transport sentinel
