event_id,detector,x_cm,y_cm,z_cm,deposit_keV,time_s
8186,3,0.0,0.0,2.98273,511.0,0.0
8269,3,0.0,0.0,3.008,511.0,0.0
8278,3,0.0,0.0,2.97348,182.96321,0.0
8310,3,0.0,0.0,2.95436,187.20573,0.0
8371,3,0.0,0.0,2.96732,141.89581,0.0
8391,3,0.0,0.0,3.00388,152.61643,0.0
8394,3,0.0,0.0,2.95377,123.46662,0.0
8398,3,0.0,0.0,2.95517,226.77763,0.0
8436,3,0.0,0.0,3.04273,117.07736,0.0
8449,3,0.0,0.0,3.03109,160.31973,0.0
8452,3,0.0,0.0,2.99976,511.0,0.0
8454,3,0.0,0.0,2.9641,511.0,0.0
8522,3,0.0,0.0,3.03179,349.14125,0.0
8540,3,0.0,0.0,3.0054,511.0,0.0
8603,3,0.0,0.0,2.99627,451.57417,0.0
8642,3,0.0,0.0,2.97096,37.57201,0.0
8671,3,0.0,0.0,2.9933,201.49229,0.0
8689,3,0.0,0.0,2.99,214.56777,0.0
8720,3,0.0,0.0,2.97212,149.87876,0.0
8761,3,0.0,0.0,3.04287,317.62405,0.0
9046,3,0.0,0.0,2.97349,258.94393,0.0
9056,3,0.0,0.0,3.00459,263.17291,0.0
9073,3,0.0,0.0,3.01678,203.18594,0.0
9100,3,0.0,0.0,2.96304,216.91789,0.0
9117,3,0.0,0.0,3.0357,511.0,0.0
9135,3,0.0,0.0,2.97968,179.33027,0.0
9207,3,0.0,0.0,2.95967,437.75233,0.0
9220,3,0.0,0.0,2.97845,511.0,0.0
9272,3,0.0,0.0,2.98,511.0,0.0
9350,3,0.0,0.0,3.00953,511.0,0.0
9355,3,0.0,0.0,2.97674,214.19833,0.0
9366,3,0.0,0.0,3.00608,173.05545,0.0
9384,3,0.0,0.0,3.04204,478.34239,0.0
9464,3,0.0,0.0,3.00101,197.05434,0.0
9467,3,0.0,0.0,2.98864,511.0,0.0
9477,3,0.0,0.0,2.99068,208.34111,0.0
9487,3,0.0,0.0,3.0284,218.14735,0.0
9509,3,0.0,0.0,2.95856,106.94516,0.0
9544,3,0.0,0.0,2.99359,11.52377,0.0
9548,3,0.0,0.0,2.9769,242.05054,0.0
9551,3,0.0,0.0,2.99801,178.48041,0.0
9609,3,0.0,0.0,2.98749,405.94141,0.0
9687,3,0.0,0.0,2.97322,218.90789,0.0
9688,3,0.0,0.0,3.0097,128.39615,0.0
9696,3,0.0,0.0,2.96116,167.93585,0.0
9761,3,0.0,0.0,3.02587,113.99728,0.0
9775,3,0.0,0.0,2.97265,271.54432,0.0
9807,3,0.0,0.0,3.04425,143.55217,0.0
9808,3,0.0,0.0,3.03974,211.0734,0.0
9826,3,0.0,0.0,3.0178,511.0,0.0
9841,3,0.0,0.0,3.01072,225.31078,0.0
9844,3,0.0,0.0,3.00437,91.75382,0.0
9990,3,0.0,0.0,3.04088,214.68335,0.0
10010,3,0.0,0.0,3.02374,143.1006,0.0
10019,3,0.0,0.0,3.04435,219.91794,0.0
10039,3,0.0,0.0,2.97046,511.0,0.0
10080,3,0.0,0.0,3.02152,347.36146,0.0
10103,3,0.0,0.0,3.01588,511.0,0.0
10151,3,0.0,0.0,3.00781,511.0,0.0
10181,3,0.0,0.0,2.95853,147.2598,0.0
10185,3,0.0,0.0,2.96008,230.7881,0.0
10202,3,0.0,0.0,3.02728,197.41562,0.0
10228,3,0.0,0.0,2.97594,319.06808,0.0
10344,3,0.0,0.0,2.95412,288.59305,0.0
10355,3,0.0,0.0,3.03207,44.39937,0.0
10368,3,0.0,0.0,2.96412,199.4921,0.0
10384,3,0.0,0.0,2.99824,187.21954,0.0
10474,3,0.0,0.0,2.9647,366.71005,0.0
10526,3,0.0,0.0,2.98993,209.82769,0.0
10547,3,0.0,0.0,2.96118,235.28152,0.0
10560,3,0.0,0.0,2.98101,511.0,0.0
10600,3,0.0,0.0,2.96319,222.28156,0.0
10705,3,0.0,0.0,2.96613,73.6438,0.0
10724,3,0.0,0.0,2.96097,511.0,0.0
10756,3,0.0,0.0,2.99388,181.09302,0.0
10766,3,0.0,0.0,2.97087,511.0,0.0
10892,3,0.0,0.0,2.97684,70.66254,0.0
10955,3,0.0,0.0,2.95037,70.23589,0.0
10965,3,0.0,0.0,2.97955,42.68329,0.0
11087,3,0.0,0.0,2.98775,229.02715,0.0
11116,3,0.0,0.0,2.9988,128.06475,0.0
11155,3,0.0,0.0,2.98054,158.01516,0.0
11156,3,0.0,0.0,2.9857,326.65075,0.0
11183,3,0.0,0.0,2.96778,83.50532,0.0
11212,3,0.0,0.0,3.0236,82.43983,0.0
11259,3,0.0,0.0,2.98122,286.21859,0.0
11273,3,0.0,0.0,2.95764,454.598,0.0
11324,3,0.0,0.0,3.00065,126.32924,0.0
11343,3,0.0,0.0,3.00957,207.05138,0.0
11345,3,0.0,0.0,3.01777,511.0,0.0
11361,3,0.0,0.0,3.03408,291.86757,0.0
11387,3,0.0,0.0,3.0071,363.76949,0.0
11449,3,0.0,0.0,3.02222,262.83629,0.0
11506,3,0.0,0.0,3.02827,260.98601,0.0
11527,3,0.0,0.0,2.99668,296.62123,0.0
11537,3,0.0,0.0,2.96529,318.07553,0.0
11554,3,0.0,0.0,2.98485,167.28641,0.0
11643,3,0.0,0.0,2.95911,162.57386,0.0
11669,3,0.0,0.0,3.02037,453.3142,0.0
11684,3,0.0,0.0,2.97005,303.55991,0.0
11721,3,0.0,0.0,3.02001,344.78249,0.0
11793,3,0.0,0.0,2.97117,335.24085,0.0
11794,3,0.0,0.0,3.01942,511.0,0.0
11810,3,0.0,0.0,3.02999,82.38387,0.0
11834,3,0.0,0.0,2.97513,377.60935,0.0
11873,3,0.0,0.0,2.97266,511.0,0.0
11892,3,0.0,0.0,3.00846,135.38362,0.0
12021,3,0.0,0.0,2.98063,102.01074,0.0
12032,3,0.0,0.0,2.96555,208.80107,0.0
12034,3,0.0,0.0,3.04319,256.40413,0.0
12097,3,0.0,0.0,2.95192,190.68066,0.0
12098,3,0.0,0.0,2.97161,183.39124,0.0
12123,3,0.0,0.0,2.97957,238.78216,0.0
12189,3,0.0,0.0,2.99465,355.78779,0.0
12248,3,0.0,0.0,3.03934,208.32549,0.0
12260,3,0.0,0.0,3.01738,458.54073,0.0
12328,3,0.0,0.0,2.97074,511.0,0.0
12357,3,0.0,0.0,2.95708,142.25085,0.0
12434,3,0.0,0.0,3.00617,511.0,0.0
12449,3,0.0,0.0,2.96017,278.75225,0.0
12451,3,0.0,0.0,2.98836,219.79565,0.0
