code,stream,source_tag,band,band_label,stage,stage_label,events,rate_s-1,mc_sigma_s-1,side_compton_class_counts
FLUKA,delayed,I-128,all_tes_gt0,all TES > 0,raw,raw,28,0.01900584497611033,0.0035917670902453065,{}
FLUKA,delayed,I-128,all_tes_gt0,all TES > 0,side_compton_fov_pass,final,11,0.007466581954900486,0.002251259164622113,"{""keep"": 3, ""single"": 8}"
FLUKA,delayed,I-128,e100_300,100-300 keV,active_veto_pass,active-veto,3,0.0020363405331546786,0.0011756817549785996,{}
FLUKA,delayed,I-128,e100_300,100-300 keV,raw,raw,10,0.00678780177718226,0.002146491392163469,{}
FLUKA,delayed,I-128,e100_300,100-300 keV,side_compton_fov_pass,final,3,0.0020363405331546786,0.0011756817549785996,"{""single"": 3}"
FLUKA,delayed,I-128,e300_480,300-480 keV,active_veto_pass,active-veto,7,0.004751461244027582,0.0017958835451226526,{}
FLUKA,delayed,I-128,e300_480,300-480 keV,raw,raw,11,0.007466581954900486,0.002251259164622113,{}
FLUKA,delayed,I-128,e300_480,300-480 keV,side_compton_fov_pass,final,7,0.004751461244027582,0.0017958835451226526,"{""keep"": 3, ""single"": 4}"
FLUKA,delayed,I-128,e480_550,480-550 keV,raw,raw,5,0.0033939008885911304,0.0015177986191573418,{}
FLUKA,delayed,I-128,e800_1500,800-1500 keV,raw,raw,1,0.0006787801777182261,0.0006787801777182261,{}
FLUKA,delayed,In-108,all_tes_gt0,all TES > 0,raw,raw,1,0.0006787801777182261,0.0006787801777182261,{}
FLUKA,delayed,In-108,e300_480,300-480 keV,raw,raw,1,0.0006787801777182261,0.0006787801777182261,{}
FLUKA,delayed,Mg-27,all_tes_gt0,all TES > 0,raw,raw,5,0.003383536065338341,0.0015131680623878259,{}
FLUKA,delayed,Mg-27,e100_300,100-300 keV,raw,raw,1,0.0006787801777182261,0.0006787801777182261,{}
FLUKA,delayed,Mg-27,e300_480,300-480 keV,raw,raw,3,0.0020259757099018887,0.0011696976214834985,{}
FLUKA,delayed,Mn-51,all_tes_gt0,all TES > 0,raw,raw,1,0.0006785452803443753,0.0006785452803443753,{}
FLUKA,delayed,Mn-52,all_tes_gt0,all TES > 0,raw,raw,1,0.0005730738874627298,0.0005730738874627298,{}
FLUKA,delayed,Mn-52,e550_800,550-800 keV,raw,raw,1,0.0005730738874627298,0.0005730738874627298,{}
FLUKA,delayed,Na-22,all_tes_gt0,all TES > 0,raw,raw,5,3.692848776152781e-05,1.6514921788209044e-05,{}
FLUKA,delayed,Na-22,e100_300,100-300 keV,raw,raw,2,1.4771395104611124e-05,1.0444953646056297e-05,{}
FLUKA,delayed,Na-22,e300_480,300-480 keV,raw,raw,2,1.4771395104611124e-05,1.0444953646056297e-05,{}
FLUKA,delayed,Na-22,e800_1500,800-1500 keV,raw,raw,1,7.385697552305562e-06,7.385697552305562e-06,{}
FLUKA,delayed,Na-24,all_tes_gt0,all TES > 0,active_veto_pass,active-veto,1,0.000678780139192184,0.000678780139192184,{}
FLUKA,delayed,Na-24,all_tes_gt0,all TES > 0,raw,raw,4,0.002715120556768736,0.001357560278384368,{}
FLUKA,delayed,Na-24,all_tes_gt0,all TES > 0,side_compton_fov_pass,final,1,0.000678780139192184,0.000678780139192184,"{""single"": 1}"
FLUKA,delayed,Na-24,e100_300,100-300 keV,active_veto_pass,active-veto,1,0.000678780139192184,0.000678780139192184,{}
FLUKA,delayed,Na-24,e100_300,100-300 keV,raw,raw,1,0.000678780139192184,0.000678780139192184,{}
FLUKA,delayed,Na-24,e100_300,100-300 keV,side_compton_fov_pass,final,1,0.000678780139192184,0.000678780139192184,"{""single"": 1}"
FLUKA,delayed,Na-24,e1500_3000,1500-3000 keV,raw,raw,1,0.000678780139192184,0.000678780139192184,{}
FLUKA,delayed,Na-24,e800_1500,800-1500 keV,raw,raw,1,0.000678780139192184,0.000678780139192184,{}
FLUKA,delayed,Nb-90,all_tes_gt0,all TES > 0,raw,raw,1,0.0006787801520691502,0.0006787801520691502,{}
FLUKA,delayed,Nb-91,all_tes_gt0,all TES > 0,active_veto_pass,active-veto,1,2.841434464760902e-08,2.841434464760902e-08,{}
FLUKA,delayed,Nb-91,all_tes_gt0,all TES > 0,raw,raw,1,2.841434464760902e-08,2.841434464760902e-08,{}
FLUKA,delayed,Nb-91,all_tes_gt0,all TES > 0,side_compton_fov_pass,final,1,2.841434464760902e-08,2.841434464760902e-08,"{""single"": 1}"
FLUKA,delayed,Nb-92,all_tes_gt0,all TES > 0,active_veto_pass,active-veto,2,1.113669074733392e-12,7.874829547417295e-13,{}
FLUKA,delayed,Nb-92,all_tes_gt0,all TES > 0,raw,raw,4,2.227338149466784e-12,1.113669074733392e-12,{}
FLUKA,delayed,Nb-92,all_tes_gt0,all TES > 0,side_compton_fov_pass,final,1,5.56834537366696e-13,5.56834537366696e-13,"{""single"": 1, ""veto"": 1}"
FLUKA,delayed,Nb-92,e300_480,300-480 keV,active_veto_pass,active-veto,1,5.56834537366696e-13,5.56834537366696e-13,{}
FLUKA,delayed,Nb-92,e300_480,300-480 keV,raw,raw,1,5.56834537366696e-13,5.56834537366696e-13,{}
FLUKA,delayed,Nb-92,e300_480,300-480 keV,side_compton_fov_pass,final,1,5.56834537366696e-13,5.56834537366696e-13,"{""single"": 1}"
FLUKA,delayed,Nb-92,e550_800,550-800 keV,active_veto_pass,active-veto,1,5.56834537366696e-13,5.56834537366696e-13,{}
FLUKA,delayed,Nb-92,e550_800,550-800 keV,raw,raw,1,5.56834537366696e-13,5.56834537366696e-13,{}
FLUKA,delayed,Nb-92,e550_800,550-800 keV,side_compton_fov_pass,final,0,0.0,0.0,"{""veto"": 1}"
FLUKA,delayed,Nb-92,e800_1500,800-1500 keV,raw,raw,1,5.56834537366696e-13,5.56834537366696e-13,{}
FLUKA,delayed,Nb-94,all_tes_gt0,all TES > 0,active_veto_pass,active-veto,32,3.030924753489277e-08,5.3579686161460815e-09,{}
