code,stream,source_tag,band,band_label,stage,stage_label,deposit_carrier,dominant_events,dominant_rate_s-1,dominant_sigma_s-1,fractional_rate_s-1,energy_rate_keV_s-1,raw_deposit_keV_sum
FLUKA,delayed,Cs-134,e100_300,100-300 keV,active_veto_pass,active-veto,ELECTRON,2,1.858556005367721e-05,1.3141975546104969e-05,1.3942339650210729e-05,0.0023867149143347805,256.8354042
FLUKA,delayed,Cs-134,e100_300,100-300 keV,active_veto_pass,active-veto,EM_BELOW_THRESHOLD,38,0.00035312564101986726,5.7284543323954304e-05,0.00035776886142333377,0.07160523336438301,7705.469532
FLUKA,delayed,Cs-134,e100_300,100-300 keV,raw,raw,ELECTRON,5,4.6463900134193025e-05,2.077928783996344e-05,3.876997247447426e-05,0.008140567163570462,876.0098850999999
FLUKA,delayed,Cs-134,e100_300,100-300 keV,raw,raw,EM_BELOW_THRESHOLD,204,0.0018957271254750798,0.00013272744692772106,0.0019034210531347986,0.3932615363903102,42319.04072349999
FLUKA,delayed,Cs-134,e100_300,100-300 keV,side_compton_fov_pass,final,ELECTRON,1,9.292780026838605e-06,9.292780026838605e-06,9.292780026838605e-06,0.0014199122570202243,152.7973602
FLUKA,delayed,Cs-134,e100_300,100-300 keV,side_compton_fov_pass,final,EM_BELOW_THRESHOLD,35,0.00032524730093935137,5.497682804557177e-05,0.00032524730093935137,0.06336157881787476,6818.3663699
FLUKA,delayed,Cs-134,e300_480,300-480 keV,active_veto_pass,active-veto,ELECTRON,1,9.292780026838605e-06,9.292780026838605e-06,9.937236598311596e-06,0.004051690273876207,436.00410880000004
FLUKA,delayed,Cs-134,e300_480,300-480 keV,active_veto_pass,active-veto,EM_BELOW_THRESHOLD,22,0.0002044411605904493,4.35870018904562e-05,0.00020379670401897632,0.08187586995906258,8810.697092
FLUKA,delayed,Cs-134,e300_480,300-480 keV,raw,raw,ELECTRON,2,1.858556005367721e-05,1.3141975546104969e-05,2.318642922263567e-05,0.008819207127988083,949.0386195
FLUKA,delayed,Cs-134,e300_480,300-480 keV,raw,raw,EM_BELOW_THRESHOLD,117,0.001087255263140119,0.0001005167846351227,0.0010826543939711603,0.4159826841177982,44764.07306709001
FLUKA,delayed,Cs-134,e300_480,300-480 keV,side_compton_fov_pass,final,ELECTRON,1,9.292780026838605e-06,9.292780026838605e-06,9.292780026838605e-06,0.0037673652742450793,405.407775
FLUKA,delayed,Cs-134,e300_480,300-480 keV,side_compton_fov_pass,final,EM_BELOW_THRESHOLD,21,0.0001951483805636107,4.258486788956168e-05,0.0001951483805636107,0.0780603536432983,8400.107763
FLUKA,delayed,Cs-134,e480_550,480-550 keV,active_veto_pass,active-veto,EM_BELOW_THRESHOLD,4,3.717112010735442e-05,1.858556005367721e-05,3.717112010735442e-05,0.019045343261500598,2049.4774660000003
FLUKA,delayed,Cs-134,e480_550,480-550 keV,raw,raw,ELECTRON,0,0.0,0.0,2.6661080050542655e-06,0.0014548338813007058,156.555291
FLUKA,delayed,Cs-134,e480_550,480-550 keV,raw,raw,EM_BELOW_THRESHOLD,41,0.00038100398110038316,5.9502825022982136e-05,0.0003783378730953289,0.1933523456006478,20806.72791589
FLUKA,delayed,Cs-134,e480_550,480-550 keV,side_compton_fov_pass,final,EM_BELOW_THRESHOLD,4,3.717112010735442e-05,1.858556005367721e-05,3.717112010735442e-05,0.019045343261500598,2049.4774660000003
FLUKA,delayed,Cs-134,e550_800,550-800 keV,active_veto_pass,active-veto,ELECTRON,0,0.0,0.0,3.574305159922251e-06,0.0028446607146615835,306.115146
FLUKA,delayed,Cs-134,e550_800,550-800 keV,active_veto_pass,active-veto,EM_BELOW_THRESHOLD,42,0.0003902967611272218,6.0224097721284615e-05,0.00038672245596729955,0.26486801597856136,28502.559536930014
FLUKA,delayed,Cs-134,e550_800,550-800 keV,raw,raw,ELECTRON,1,9.292780026838605e-06,9.292780026838605e-06,1.0211072529053397e-05,0.00812662478566254,874.5095398999999
FLUKA,delayed,Cs-134,e550_800,550-800 keV,raw,raw,EM_BELOW_THRESHOLD,149,0.0013846242239989551,0.00011343283622238491,0.0013837059314967402,0.9331788288585386,100419.76955909992
FLUKA,delayed,Cs-134,e550_800,550-800 keV,side_compton_fov_pass,final,ELECTRON,0,0.0,0.0,3.574305159922251e-06,0.0028446607146615835,306.115146
FLUKA,delayed,Cs-134,e550_800,550-800 keV,side_compton_fov_pass,final,EM_BELOW_THRESHOLD,41,0.00038100398110038316,5.9502825022982136e-05,0.0003774296759404609,0.25924847657138866,27897.838517930013
FLUKA,delayed,Cs-134,e800_1500,800-1500 keV,active_veto_pass,active-veto,EM_BELOW_THRESHOLD,1,9.292780026838605e-06,9.292780026838605e-06,9.292780026838605e-06,0.007452373016011681,801.953021
FLUKA,delayed,Cs-134,e800_1500,800-1500 keV,raw,raw,ELECTRON,0,0.0,0.0,3.6173085734912924e-06,0.0029009115384005424,312.168321
FLUKA,delayed,Cs-134,e800_1500,800-1500 keV,raw,raw,EM_BELOW_THRESHOLD,11,0.00010222058029522465,3.082066460833244e-05,9.860327172173336e-05,0.09990091555152701,10750.3798931
FLUKA,delayed,Cs-134,e800_1500,800-1500 keV,side_compton_fov_pass,final,EM_BELOW_THRESHOLD,1,9.292780026838605e-06,9.292780026838605e-06,9.292780026838605e-06,0.007452373016011681,801.953021
FLUKA,delayed,Cs-134,w2_510p58_511p42,W2 510.58-511.42 keV,raw,raw,EM_BELOW_THRESHOLD,1,9.292780026838605e-06,9.292780026838605e-06,9.292780026838605e-06,0.004748660746848332,511.005397
FLUKA,delayed,Cu-62,all_tes_gt0,all TES > 0,active_veto_pass,active-veto,EM_BELOW_THRESHOLD,3,0.0020363405331546786,0.0011756817549785996,0.0020363405331546786,0.6739878701303462,992.9398239000001
FLUKA,delayed,Cu-62,all_tes_gt0,all TES > 0,raw,raw,EM_BELOW_THRESHOLD,5,0.00339366599121728,0.0015176935844004788,0.00339366599121728,1.3006705557511558,1916.3523929000003
FLUKA,delayed,Cu-62,all_tes_gt0,all TES > 0,side_compton_fov_pass,final,EM_BELOW_THRESHOLD,2,0.0013575603554364522,0.0009599401331991352,0.0013575603554364522,0.3271318374375777,481.940764
