dimension,key,metric,metric_label,stage,source_histories,source_fraction,fluka_sum_w,megalib_sum_w,fluka_contribution_per_parent,megalib_contribution_per_parent,contribution_difference_per_parent,difference_share_of_total,z_contribution_difference,fluka_conditional_efficiency,megalib_conditional_efficiency,fluka_over_megalib_conditional
source_volume,DR_Capillary_CuNi_Still_4K,w2_expected,W2 analytic Gaussian expectation,raw,16721,0.016721,2.991898813615032,0.997299275319014,2.9918988136150322e-06,9.97299275319014e-07,1.9945995382960183e-06,0.007647882716154697,1.00000024758308,0.00017893061501196293,5.964351864834723e-05,3.0000009903326057
source_volume,Cu_ColdFinger_Stem_YM_ZM_to_MXC,w2_expected,W2 analytic Gaussian expectation,raw,150,0.00015,2.991898813615032,0.9972993831149899,2.9918988136150322e-06,9.9729938311499e-07,1.9945994305000423e-06,0.007647882302833142,1.0000001665171825,0.019945992090766883,0.006648662554099932,3.0000006660688596
source_volume,Cu_ColdFinger_OffAxis_YM_ZM_from_Disk_to_Stem,w2_expected,W2 analytic Gaussian expectation,raw,156,0.000156,0.0,1.9945988014612086,0.0,1.9945988014612087e-06,-1.9945988014612087e-06,-0.0076478798909127895,-1.4142135623730947,0.0,0.012785889752956466,0.0
source_volume,Cu_SubstrateSupport_OpenRing_L1_YM_panel,w2_expected,W2 analytic Gaussian expectation,raw,140,0.00014,3.99057837436934,5.983796446711552,3.99057837436934e-06,5.983796446711552e-06,-1.9932180723422116e-06,-0.00764258576837735,-0.6320176099577838,0.028504131245495286,0.0427414031907968,0.6668974136916702
source_volume,Cu_SubstrateSupport_OpenRing_L2_YP_panel,w2_expected,W2 analytic Gaussian expectation,raw,137,0.000137,2.9946587260469606,4.9864968940116885,2.9946587260469607e-06,4.986496894011689e-06,-1.991838167964728e-06,-0.00763729480814404,-0.7061278934416729,0.021858822817861025,0.03639778754753057,0.6005536130270657
source_volume,Cu_ColdFinger_OffAxis_YM_ZP_from_Disk_to_Stem,w2_expected,W2 analytic Gaussian expectation,raw,152,0.000152,1.994599209076688,0.997299441727413,1.994599209076688e-06,9.97299441727413e-07,9.972997673492752e-07,0.0038239413511804723,0.5773503948609062,0.01312236321760979,0.006561180537680349,2.000000326503604
source_volume,DR_4K_Condenser_Cu,w2_expected,W2 analytic Gaussian expectation,raw,17828,0.017828,0.997299604538344,0.0,9.97299604538344e-07,0.0,9.97299604538344e-07,0.003823940726915359,1.0,5.5940072051735695e-05,0.0,
source_volume,Cu_ColdFinger_Stem_YM_ZP_to_MXC,w2_expected,W2 analytic Gaussian expectation,raw,147,0.000147,0.997299604538344,0.0,9.97299604538344e-07,0.0,9.97299604538344e-07,0.003823940726915359,1.0,0.006784351051281252,0.0,
source_volume,Cu_MXC_Clamp_Pad_YP_ZM_for_OffAxisStem,w2_expected,W2 analytic Gaussian expectation,raw,135,0.000135,0.997299604538344,0.0,9.97299604538344e-07,0.0,9.97299604538344e-07,0.003823940726915359,1.0,0.007387404478061807,0.0,
source_volume,Cu_MXC_Clamp_Pad_YM_ZP_for_OffAxisStem,w2_expected,W2 analytic Gaussian expectation,raw,156,0.000156,0.997299604538344,0.0,9.97299604538344e-07,0.0,9.97299604538344e-07,0.003823940726915359,1.0,0.006392946182938102,0.0,
source_volume,Cu_ColdFinger_OffAxis_YP_ZP_from_Disk_to_Stem,w2_expected,W2 analytic Gaussian expectation,raw,145,0.000145,2.9932787698309964,2.9918982567159773,2.9932787698309962e-06,2.991898256715977e-06,1.380513115019065e-09,5.293294312500877e-06,0.0005651181241180522,0.020643301860903424,0.020633781080799843,1.000461417132725
source_volume,Cu_MXC_Clamp_Pad_YP_ZP_for_OffAxisStem,w2_expected,W2 analytic Gaussian expectation,raw,141,0.000141,0.997299604538344,0.99729938311499,9.97299604538344e-07,9.9729938311499e-07,2.214233541155818e-13,8.4900242398544e-10,1.5699391825361678e-07,0.007073046840697475,0.007073045270319078,1.000000222022953
